Organoids,Index,y.name,OT,OrganoidsDrug,Drug,Time-point,Apoptotic.ratio,,
SNU-4351S4-3-TO,1,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO TAS-102,TAS-102, 1-2,20.86235713,,
SNU-4351S4-4-TO,1,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO TAS-102,TAS-102, 1-2,57.86740745,,
SNU-4351S4-5-TO,1,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO TAS-102,TAS-102, 1-2,29.77096508,,
SNU-4351S4-6-TO,1,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO TAS-102,TAS-102, 1-2,20.80527345,,
SNU-4351S4-7-TO,1,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO TAS-102,TAS-102, 1-2,43.40118325,,
SNU-4351S4-TO,1,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO TAS-102,TAS-102, 2-3,-3.46685372,,
SNU-4351S1-5-TO,1,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO TAS-102,TAS-102, 2-3,10.26789094,,
SNU-4351S1-7-TO,1,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO TAS-102,TAS-102, 2-3,-9.95217996,,
SNU-4351S2-3-TO,1,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO TAS-102,TAS-102, 2-3,-2.724662301,,
SNU-4351S2-4-TO,1,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO TAS-102,TAS-102, 2-3,-10.5750098,,
SNU-4351S3-1-TO,1,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO TAS-102,TAS-102, 2-3,-4.638842522,,
SNU-4351S3-2-TO,1,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO TAS-102,TAS-102, 2-3,-5,,
SNU-4351S3-7-TO,1,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO TAS-102,TAS-102, 2-3,-11.19256959,,
SNU-4351S3-8-TO,1,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO TAS-102,TAS-102, 2-3,-3.016223148,,
SNU-4351S4-1-TO,1,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO TAS-102,TAS-102, 2-3,-5,,
SNU-4351S4-2-TO,1,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO TAS-102,TAS-102, 2-3,-1.636962954,,
SNU-4351S4-3-TO,1,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO TAS-102,TAS-102, 2-3,-6.978946313,,
SNU-4351S4-4-TO,1,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO TAS-102,TAS-102, 2-3,-13.32662703,,
SNU-4351S4-5-TO,1,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO TAS-102,TAS-102, 2-3,-5.143124057,,
SNU-4351S4-6-TO,1,Apoptotic_Ratio,SNU-4351S4-6-TO 3,SNU-4351S4-6-TO TAS-102,TAS-102, 2-3,-12.15798349,,
SNU-4351S4-7-TO,1,Apoptotic_Ratio,SNU-4351S4-7-TO 3,SNU-4351S4-7-TO TAS-102,TAS-102, 2-3,-5,,
SNU-4351S4-TO,2,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO Regorafenib,Regorafenib, 0-1,2.411193341,,
SNU-4351S1-5-TO,2,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO Regorafenib,Regorafenib, 0-1,7.0894391,,
SNU-4351S1-7-TO,2,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO Regorafenib,Regorafenib, 0-1,4.519913388,,
SNU-4351S2-3-TO,2,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO Regorafenib,Regorafenib, 0-1,8.872712204,,
SNU-4351S2-4-TO,2,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO Regorafenib,Regorafenib, 0-1,8.010051167,,
SNU-4351S3-1-TO,2,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO Regorafenib,Regorafenib, 0-1,4.216001412,,
SNU-4351S3-2-TO,2,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO Regorafenib,Regorafenib, 0-1,3.287961858,,
SNU-4351S3-7-TO,2,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO Regorafenib,Regorafenib, 0-1,12.34679715,,
SNU-4351S3-8-TO,2,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO Regorafenib,Regorafenib, 0-1,4.302474292,,
SNU-4351S4-1-TO,2,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO Regorafenib,Regorafenib, 0-1,12.85302587,,
SNU-4351S4-2-TO,2,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO Regorafenib,Regorafenib, 0-1,18.47124274,,
SNU-4351S4-3-TO,2,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO Regorafenib,Regorafenib, 0-1,3.758579917,,
SNU-4351S4-4-TO,2,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO Regorafenib,Regorafenib, 0-1,5.753649091,,
SNU-4351S4-5-TO,2,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO Regorafenib,Regorafenib, 0-1,32.79111124,,
SNU-4351S4-6-TO,2,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO Regorafenib,Regorafenib, 0-1,17.69481981,,
SNU-4351S4-7-TO,2,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO Regorafenib,Regorafenib, 0-1,13.49955661,,
SNU-4351S4-TO,2,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO Regorafenib,Regorafenib, 1-2,6.234702869,,
SNU-4351S1-5-TO,2,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO Regorafenib,Regorafenib, 1-2,15.79214485,,
SNU-4351S1-7-TO,2,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO Regorafenib,Regorafenib, 1-2,11.58265672,,
SNU-4351S2-3-TO,2,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO Regorafenib,Regorafenib, 1-2,18.14563249,,
SNU-4351S2-4-TO,2,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO Regorafenib,Regorafenib, 1-2,3.823524971,,
SNU-4351S3-1-TO,2,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO Regorafenib,Regorafenib, 1-2,3.983600679,,
SNU-4351S3-2-TO,2,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO Regorafenib,Regorafenib, 1-2,4.523688909,,
SNU-4351S3-7-TO,2,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO Regorafenib,Regorafenib, 1-2,10.8872311,,
SNU-4351S3-8-TO,2,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO Regorafenib,Regorafenib, 1-2,1.797674794,,
SNU-4351S4-1-TO,2,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO Regorafenib,Regorafenib, 1-2,5.900783372,,
SNU-4351S4-2-TO,2,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO Regorafenib,Regorafenib, 1-2,-11.66313506,,
SNU-4351S4-3-TO,2,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO Regorafenib,Regorafenib, 1-2,28.97226873,,
SNU-4351S4-4-TO,2,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO Regorafenib,Regorafenib, 1-2,47.86658282,,
SNU-4351S4-5-TO,2,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO Regorafenib,Regorafenib, 1-2,36.59476645,,
SNU-4351S4-6-TO,2,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO Regorafenib,Regorafenib, 1-2,11.118075,,
SNU-4351S4-7-TO,2,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO Regorafenib,Regorafenib, 1-2,14.67994555,,
SNU-4351S4-TO,2,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO Regorafenib,Regorafenib, 2-3,16.83503116,,
SNU-4351S1-5-TO,2,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO Regorafenib,Regorafenib, 2-3,19.11720797,,
SNU-4351S1-7-TO,2,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO Regorafenib,Regorafenib, 2-3,7.214637221,,
SNU-4351S2-3-TO,2,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO Regorafenib,Regorafenib, 2-3,44.79715589,,
SNU-4351S2-4-TO,2,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO Regorafenib,Regorafenib, 2-3,4.599393346,,
SNU-4351S3-1-TO,2,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO Regorafenib,Regorafenib, 2-3,29.58361763,,
SNU-4351S3-2-TO,2,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO Regorafenib,Regorafenib, 2-3,2.595839103,,
SNU-4351S3-7-TO,2,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO Regorafenib,Regorafenib, 2-3,7.015872438,,
SNU-4351S3-8-TO,2,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO Regorafenib,Regorafenib, 2-3,40.50821886,,
SNU-4351S4-1-TO,2,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO Regorafenib,Regorafenib, 2-3,9.527137412,,
SNU-4351S4-2-TO,2,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO Regorafenib,Regorafenib, 2-3,48.02045079,,
SNU-4351S4-3-TO,2,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO Regorafenib,Regorafenib, 2-3,19.90618988,,
SNU-4351S4-4-TO,2,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO Regorafenib,Regorafenib, 2-3,25.86183877,,
SNU-4351S4-5-TO,2,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO Regorafenib,Regorafenib, 2-3,15.13661136,,
SNU-4351S4-6-TO,2,Apoptotic_Ratio,SNU-4351S4-6-TO 3,SNU-4351S4-6-TO Regorafenib,Regorafenib, 2-3,3.953342089,,
SNU-4351S4-7-TO,2,Apoptotic_Ratio,SNU-4351S4-7-TO 3,SNU-4351S4-7-TO Regorafenib,Regorafenib, 2-3,8.385916259,,
SNU-4351S4-TO,3,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO Capecitabine,Capecitabine, 0-1,7.283677602,,
SNU-4351S1-5-TO,3,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO Capecitabine,Capecitabine, 0-1,16.64359806,,
SNU-4351S1-7-TO,3,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO Capecitabine,Capecitabine, 0-1,23.65711064,,
SNU-4351S2-3-TO,3,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO Capecitabine,Capecitabine, 0-1,26.42367132,,
SNU-4351S2-4-TO,3,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO Capecitabine,Capecitabine, 0-1,20.40527239,,
SNU-4351S3-1-TO,3,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO Capecitabine,Capecitabine, 0-1,6.166167904,,
SNU-4351S3-2-TO,3,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO Capecitabine,Capecitabine, 0-1,20.74432949,,
SNU-4351S3-7-TO,3,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO Capecitabine,Capecitabine, 0-1,27.4605369,,
SNU-4351S3-8-TO,3,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO Capecitabine,Capecitabine, 0-1,6.627062627,,
SNU-4351S4-1-TO,3,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO Capecitabine,Capecitabine, 0-1,25.23166071,,
SNU-4351S4-2-TO,3,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO Capecitabine,Capecitabine, 0-1,32.46295751,,
SNU-4351S4-3-TO,3,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO Capecitabine,Capecitabine, 0-1,12.24411113,,
SNU-4351S4-4-TO,3,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO Capecitabine,Capecitabine, 0-1,13.30987155,,
SNU-4351S4-5-TO,3,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO Capecitabine,Capecitabine, 0-1,25.26775009,,
SNU-4351S4-6-TO,3,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO Capecitabine,Capecitabine, 0-1,12.60943187,,
SNU-4351S4-7-TO,3,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO Capecitabine,Capecitabine, 0-1,24.46296295,,
SNU-4351S4-TO,3,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO Capecitabine,Capecitabine, 1-2,8.46643804,,
SNU-4351S1-5-TO,3,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO Capecitabine,Capecitabine, 1-2,35.4001696,,
SNU-4351S1-7-TO,3,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO Capecitabine,Capecitabine, 1-2,-3.819351671,,
SNU-4351S2-3-TO,3,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO Capecitabine,Capecitabine, 1-2,44.00228915,,
SNU-4351S2-4-TO,3,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO Capecitabine,Capecitabine, 1-2,11.7275344,,
SNU-4351S3-1-TO,3,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO Capecitabine,Capecitabine, 1-2,2.179373919,,
SNU-4351S3-2-TO,3,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO Capecitabine,Capecitabine, 1-2,7.566085741,,
SNU-4351S3-7-TO,3,Apoptotic_Ratio,SNU-4351S3-7-TO 2,SNU-4351S3-7-TO Capecitabine,Capecitabine, 1-2,-0.093005917,,
SNU-4351S3-8-TO,3,Apoptotic_Ratio,SNU-4351S3-8-TO 2,SNU-4351S3-8-TO Capecitabine,Capecitabine, 1-2,7.470234755,,
SNU-4351S4-1-TO,3,Apoptotic_Ratio,SNU-4351S4-1-TO 2,SNU-4351S4-1-TO Capecitabine,Capecitabine, 1-2,5.731131444,,
SNU-4351S4-2-TO,3,Apoptotic_Ratio,SNU-4351S4-2-TO 2,SNU-4351S4-2-TO Capecitabine,Capecitabine, 1-2,-5,,
SNU-4351S4-3-TO,3,Apoptotic_Ratio,SNU-4351S4-3-TO 2,SNU-4351S4-3-TO Capecitabine,Capecitabine, 1-2,17.80608501,,
SNU-4351S4-4-TO,3,Apoptotic_Ratio,SNU-4351S4-4-TO 2,SNU-4351S4-4-TO Capecitabine,Capecitabine, 1-2,47.31948414,,
SNU-4351S4-5-TO,3,Apoptotic_Ratio,SNU-4351S4-5-TO 2,SNU-4351S4-5-TO Capecitabine,Capecitabine, 1-2,27.51851863,,
SNU-4351S4-6-TO,3,Apoptotic_Ratio,SNU-4351S4-6-TO 2,SNU-4351S4-6-TO Capecitabine,Capecitabine, 1-2,25.02316678,,
SNU-4351S4-7-TO,3,Apoptotic_Ratio,SNU-4351S4-7-TO 2,SNU-4351S4-7-TO Capecitabine,Capecitabine, 1-2,33.59666458,,
SNU-4351S4-TO,3,Apoptotic_Ratio,SNU-4351S4-TO 3,SNU-4351S4-TO Capecitabine,Capecitabine, 2-3,-2.885564416,,
SNU-4351S1-5-TO,3,Apoptotic_Ratio,SNU-4351S1-5-TO 3,SNU-4351S1-5-TO Capecitabine,Capecitabine, 2-3,12.5807412,,
SNU-4351S1-7-TO,3,Apoptotic_Ratio,SNU-4351S1-7-TO 3,SNU-4351S1-7-TO Capecitabine,Capecitabine, 2-3,-4.126634851,,
SNU-4351S2-3-TO,3,Apoptotic_Ratio,SNU-4351S2-3-TO 3,SNU-4351S2-3-TO Capecitabine,Capecitabine, 2-3,-13.06512466,,
SNU-4351S2-4-TO,3,Apoptotic_Ratio,SNU-4351S2-4-TO 3,SNU-4351S2-4-TO Capecitabine,Capecitabine, 2-3,-9.446231896,,
SNU-4351S3-1-TO,3,Apoptotic_Ratio,SNU-4351S3-1-TO 3,SNU-4351S3-1-TO Capecitabine,Capecitabine, 2-3,-3.876853903,,
SNU-4351S3-2-TO,3,Apoptotic_Ratio,SNU-4351S3-2-TO 3,SNU-4351S3-2-TO Capecitabine,Capecitabine, 2-3,-14.86382889,,
SNU-4351S3-7-TO,3,Apoptotic_Ratio,SNU-4351S3-7-TO 3,SNU-4351S3-7-TO Capecitabine,Capecitabine, 2-3,-7.614098148,,
SNU-4351S3-8-TO,3,Apoptotic_Ratio,SNU-4351S3-8-TO 3,SNU-4351S3-8-TO Capecitabine,Capecitabine, 2-3,-0.387352902,,
SNU-4351S4-1-TO,3,Apoptotic_Ratio,SNU-4351S4-1-TO 3,SNU-4351S4-1-TO Capecitabine,Capecitabine, 2-3,-12.36994867,,
SNU-4351S4-2-TO,3,Apoptotic_Ratio,SNU-4351S4-2-TO 3,SNU-4351S4-2-TO Capecitabine,Capecitabine, 2-3,-10.78115983,,
SNU-4351S4-3-TO,3,Apoptotic_Ratio,SNU-4351S4-3-TO 3,SNU-4351S4-3-TO Capecitabine,Capecitabine, 2-3,-5.252787371,,
SNU-4351S4-4-TO,3,Apoptotic_Ratio,SNU-4351S4-4-TO 3,SNU-4351S4-4-TO Capecitabine,Capecitabine, 2-3,-1.876475584,,
SNU-4351S4-5-TO,3,Apoptotic_Ratio,SNU-4351S4-5-TO 3,SNU-4351S4-5-TO Capecitabine,Capecitabine, 2-3,-7.402574544,,
SNU-4351S4-6-TO,3,Apoptotic_Ratio,SNU-4351S4-6-TO 3,SNU-4351S4-6-TO Capecitabine,Capecitabine, 2-3,-9.535073397,,
SNU-4351S4-7-TO,3,Apoptotic_Ratio,SNU-4351S4-7-TO 3,SNU-4351S4-7-TO Capecitabine,Capecitabine, 2-3,-5,,
SNU-4351S4-TO,4,Apoptotic_Ratio,SNU-4351S4-TO 1,SNU-4351S4-TO Apitolisib,Apitolisib, 0-1,5.742205959,,
SNU-4351S1-5-TO,4,Apoptotic_Ratio,SNU-4351S1-5-TO 1,SNU-4351S1-5-TO Apitolisib,Apitolisib, 0-1,25.52956566,,
SNU-4351S1-7-TO,4,Apoptotic_Ratio,SNU-4351S1-7-TO 1,SNU-4351S1-7-TO Apitolisib,Apitolisib, 0-1,45.99406088,,
SNU-4351S2-3-TO,4,Apoptotic_Ratio,SNU-4351S2-3-TO 1,SNU-4351S2-3-TO Apitolisib,Apitolisib, 0-1,33.46323907,,
SNU-4351S2-4-TO,4,Apoptotic_Ratio,SNU-4351S2-4-TO 1,SNU-4351S2-4-TO Apitolisib,Apitolisib, 0-1,28.36142723,,
SNU-4351S3-1-TO,4,Apoptotic_Ratio,SNU-4351S3-1-TO 1,SNU-4351S3-1-TO Apitolisib,Apitolisib, 0-1,9.11089192,,
SNU-4351S3-2-TO,4,Apoptotic_Ratio,SNU-4351S3-2-TO 1,SNU-4351S3-2-TO Apitolisib,Apitolisib, 0-1,24.61346433,,
SNU-4351S3-7-TO,4,Apoptotic_Ratio,SNU-4351S3-7-TO 1,SNU-4351S3-7-TO Apitolisib,Apitolisib, 0-1,39.92071481,,
SNU-4351S3-8-TO,4,Apoptotic_Ratio,SNU-4351S3-8-TO 1,SNU-4351S3-8-TO Apitolisib,Apitolisib, 0-1,11.17531863,,
SNU-4351S4-1-TO,4,Apoptotic_Ratio,SNU-4351S4-1-TO 1,SNU-4351S4-1-TO Apitolisib,Apitolisib, 0-1,31.17291222,,
SNU-4351S4-2-TO,4,Apoptotic_Ratio,SNU-4351S4-2-TO 1,SNU-4351S4-2-TO Apitolisib,Apitolisib, 0-1,25.49659639,,
SNU-4351S4-3-TO,4,Apoptotic_Ratio,SNU-4351S4-3-TO 1,SNU-4351S4-3-TO Apitolisib,Apitolisib, 0-1,8.330995798,,
SNU-4351S4-4-TO,4,Apoptotic_Ratio,SNU-4351S4-4-TO 1,SNU-4351S4-4-TO Apitolisib,Apitolisib, 0-1,19.84037723,,
SNU-4351S4-5-TO,4,Apoptotic_Ratio,SNU-4351S4-5-TO 1,SNU-4351S4-5-TO Apitolisib,Apitolisib, 0-1,32.33137324,,
SNU-4351S4-6-TO,4,Apoptotic_Ratio,SNU-4351S4-6-TO 1,SNU-4351S4-6-TO Apitolisib,Apitolisib, 0-1,18.0040718,,
SNU-4351S4-7-TO,4,Apoptotic_Ratio,SNU-4351S4-7-TO 1,SNU-4351S4-7-TO Apitolisib,Apitolisib, 0-1,29.18284267,,
SNU-4351S4-TO,4,Apoptotic_Ratio,SNU-4351S4-TO 2,SNU-4351S4-TO Apitolisib,Apitolisib, 1-2,24.08393494,,
SNU-4351S1-5-TO,4,Apoptotic_Ratio,SNU-4351S1-5-TO 2,SNU-4351S1-5-TO Apitolisib,Apitolisib, 1-2,31.91218612,,
SNU-4351S1-7-TO,4,Apoptotic_Ratio,SNU-4351S1-7-TO 2,SNU-4351S1-7-TO Apitolisib,Apitolisib, 1-2,13.61121259,,
SNU-4351S2-3-TO,4,Apoptotic_Ratio,SNU-4351S2-3-TO 2,SNU-4351S2-3-TO Apitolisib,Apitolisib, 1-2,39.62702751,,
SNU-4351S2-4-TO,4,Apoptotic_Ratio,SNU-4351S2-4-TO 2,SNU-4351S2-4-TO Apitolisib,Apitolisib, 1-2,36.03163708,,
SNU-4351S3-1-TO,4,Apoptotic_Ratio,SNU-4351S3-1-TO 2,SNU-4351S3-1-TO Apitolisib,Apitolisib, 1-2,27.79098772,,
SNU-4351S3-2-TO,4,Apoptotic_Ratio,SNU-4351S3-2-TO 2,SNU-4351S3-2-TO Apitolisib,Apitolisib, 1-2,32.10866667,,
